,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,row_sd
20191025,0.381634021,0.283240477,0.231479433,0.270180869,0.184750974,0.296364238,0.578735116,0.202560991,-0.036653668,0.028343044,-0.117842839,0.754842593,0.079726317,0.269029181,0.799189939,0.460563407,0.600853682,-0.000464029,-0.139910436,0.190506029,0.741221538,0.49128585,0.405289203,0.892858978,1.521022303,1.465335488,1.863722408,2.133788854,1.961293384,1.00978667,-0.659991826,-0.712627421,-0.690671188,-0.580692242,-0.502732331,-0.662261101,-0.484498291,-0.628218159,-0.423953843,-0.760440007,-0.652601715,-0.746016544,-0.725874413,-0.5887722,-0.263566603,-0.020390303,0.350113538,0.471784092,0.469928534
20191026,0.482813706,0.320651422,0.66186764,0.701517577,0.727798489,0.652450815,0.72059666,0.465224596,0.362856028,0.067895012,-0.440759965,0.110298981,-0.240443048,-0.639922058,-0.363639725,0.118804765,0.173054106,0.334415935,0.049395021,0.121692722,0.002931017,-0.042207774,-0.062082688,0.430592474,0.344601236,-0.23167896,0.14024065,1.691924106,2.308739962,1.58847267,-0.018516706,-0.24068039,-0.374137123,-1.10674351,-0.859872344,-1.111761316,-1.493827566,-1.446689118,-1.247390095,-1.506852303,-1.492230598,-0.964171842,-0.843611618,-0.834555277,-0.036844984,0.126851624,0.00688056,-0.090269338,0.422279547
20191027,0.494117425,0.590263519,0.424650296,0.119109882,0.254971853,0.585014271,0.617053077,0.671150073,0.469947554,0.270083952,0.428785473,0.836442663,0.664424916,0.262932239,0.295003178,0.429059905,0.739049461,0.576117197,0.45910142,0.304104103,0.168938789,0.908708244,0.690440348,0.494132829,0.560915661,0.192194236,1.620985705,1.343633429,1.19704666,0.308470357,0.176324665,0.636710629,-0.028707282,-0.755674774,-1.121131297,-0.892689923,-0.194675755,-0.005933414,0.438471992,1.021755053,-0.730706691,-0.034847134,0.424140247,0.336336705,0.350585935,0.623266924,0.920422304,1.325667607,0.605034727
20191028,1.029040011,1.272667248,0.413120725,0.422636251,0.619227842,1.532147337,2.475587294,1.955350525,0.645061353,0.471315131,0.680704045,1.307530312,0.920671366,0.046467144,0.265799032,0.318703104,0.36414,0.438208366,0.167813582,0.116021802,0.129796058,0.426551954,0.248343544,0.671589216,0.663332939,0.517249345,1.140690055,0.889343841,0.819867464,0.750429739,0.314811829,-0.383698782,-0.086337664,-0.50765343,-0.409496549,-0.450338633,-1.025490584,-0.695611598,-0.244619094,-0.309040341,-0.746269496,-0.543205072,-0.874519552,-0.107579407,0.198871002,0.262584193,0.53302515,0.415822113,0.49220136
20191029,0.512784998,0.471801588,0.263759384,0.068074962,0.676753346,0.663159397,0.86520504,0.905681375,0.677075413,0.183068191,0.256687892,0.663470507,0.185714052,0.265202857,0.225813047,0.679724058,0.682189121,0.690409474,0.097604515,0.1518415,-0.000542506,0.380287604,0.438158338,0.550561405,0.654243742,0.698114313,0.899324301,2.36515396,0.75180709,0.446083198,0.908340771,0.871244077,0.493168106,0.449999168,0.891657362,0.261320026,-0.651403651,-0.424391542,-0.330997624,-0.288459764,-0.53692936,-0.164776652,-0.160864226,0.021751408,0.151698893,0.049750315,0.391062689,0.364162706,0.492304504
20191030,0.329082156,0.548116927,0.476766633,0.565951399,0.788648674,0.828243424,1.002088023,0.329730495,0.279198727,0.484659241,0.395996929,1.020850507,0.170182524,-0.097014354,0.027529158,0.182728867,0.137271004,0.295510606,0.821820249,0.616260644,0.539869068,1.044505594,0.57498311,0.312838176,0.469007082,-0.184594745,0.920774986,2.854209198,3.623853327,1.060308445,1.037091499,0.466303672,0.442943462,0.286878024,0.660691559,0.435010727,0.188528755,-0.069920181,-0.079019033,0.378478255,0.257694269,1.008705935,0.616246459,0.514236045,0.213832157,0.111945353,0.002041793,-0.246584558,0.590890537
20191031,0.192322592,-0.246942136,-0.006126068,0.529247469,0.299277875,1.616180514,1.002448366,0.586142169,0.180589694,0.096240407,0.208740716,0.716053781,0.177133827,0.301435829,0.260176743,0.321457652,0.265837212,0.209401848,0.316928397,0.706449642,0.176518816,0.085644376,0.271417112,1.129262552,0.625681721,2.0589207,1.525791923,0.50389328,0.738324339,0.548690617,0.383749449,1.104532849,0.308573519,0.261455631,0.695438129,0.485660722,0.774712883,0.408641728,0.260094146,0.502800279,0.441419985,0.448745946,0.475670116,0.528380209,0.707695844,0.600571446,0.915156643,0.711707636,0.289945708
20191101,0.449589399,0.113420745,0.354329684,0.251570761,0.024354471,0.504058535,0.251450549,0.124595599,0.316391917,0.249221928,0.102652804,0.536229613,0.234419352,0.152232202,0.724940587,0.408295284,0.44266786,0.184843425,0.230147391,0.388076885,0.280764824,0.239849511,1.173714658,1.287311797,0.944761036,1.642611902,1.494352639,0.960290781,1.231190522,1.418807426,1.564067374,2.027270434,1.089552261,0.526602757,0.578446794,1.158727791,0.595123331,0.247739132,0.333988593,0.807772632,0.579251684,0.833498537,0.928570826,1.186105182,1.444739687,1.498674397,0.749457626,0.486382781,0.298262425
20191102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20191103,0.904473391,0.664595693,0.725695003,0.696514145,0.646282509,1.506669342,0.726971647,0.550185831,0.561968434,0.3824047,0.626901343,0.938365273,0.351725695,0.675772961,1.026861704,1.047591782,1.087188231,1.326171464,1.249767988,1.222658659,0.967354432,0.722005851,1.24258783,2.817325717,1.174301308,1.531836497,1.119019557,1.497528695,1.098129686,0.849462331,0.623010505,1.530947706,0.714301005,0.355626593,0.670458188,0.522542052,0.511885319,-0.194636398,-0.020345177,0.146256458,0.256347784,0.33596776,0.609139933,1.005464733,1.083773275,0.860620312,0.880589283,0.589982851,0.334685845
